HOG,OG,Gene Tree Parent Clade,Bdistachyon_pep,EM_A_pep,EM_B_pep,TaCS_A_pep_longest,TaCS_B_pep_longest,TaCS_D_pep_longest,barley,emmer,wheat,barley_rates,wheat_rates,emmer_rates,barley/emmer,barley/wheat,emmer/wheat
N1.HOG0000102,OG0000006,n36,,"TRIDC6AG012020.1, TRIDC1AG054270.1, TRIDC1AG054250.1","TRIDC6BG017380.1, TRIDC1BG062120.1",TraesCS6A02G094200,"TraesCS6B02G122600, TraesCS1B02G388200, TraesCS1B02G388500, TraesCS1B02G388300","TraesCS1D02G375100, TraesCS1D02G374900, TraesCSU02G167700, TraesCS1D02G375000","HORVU.MOREX.r2.1HG0073480.1, HORVU.MOREX.r2.1HG0073510.1, HORVU.MOREX.r2.6HG0460180.1, HORVU.MOREX.r2.1HG0064430.1","TRIDC6AG012020.1, TRIDC1AG054270.1, TRIDC1AG054250.1, TRIDC6BG017380.1, TRIDC1BG062120.1","TraesCS6A02G094200, TraesCS6B02G122600, TraesCS1B02G388200, TraesCS1B02G388500, TraesCS1B02G388300, TraesCS1D02G375100, TraesCS1D02G374900, TraesCSU02G167700, TraesCS1D02G375000",0.9473684210526316,0.6,0.7125,1.3296398891966759,1.5789473684210529,1.1875
N1.HOG0000255,OG0000025,n39,,,TRIDC6BG003200.1,TraesCS6A02G021800,,,"HORVU.MOREX.r2.6HG0450550.1, HORVU.MOREX.r2.6HG0450510.1",TRIDC6BG003200.1,TraesCS6A02G021800,0.8947368421052632,0.7333333333333334,0.85,1.0526315789473684,1.2200956937799041,1.159090909090909
N1.HOG0000275,OG0000027,n10,,TRIDC3AG061550.1,TRIDC3BG083090.1,"TraesCS4A02G483600, TraesCS3A02G435200",TraesCS3B02G575400,,HORVU.MOREX.r2.7HG0528980.1,"TRIDC3AG061550.1, TRIDC3BG083090.1","TraesCS4A02G483600, TraesCS3A02G435200, TraesCS3B02G575400",0.8947368421052632,0.1333333333333333,0.85,1.0526315789473684,6.710526315789475,6.375000000000001
N1.HOG0000286,OG0000027,n65,,TRIDC2AG071110.1,TRIDC2BG076950.1,TraesCS2A02G505200,TraesCS2B02G533400,TraesCS2D02G505900,HORVU.MOREX.r2.2HG0168960.1,"TRIDC2AG071110.1, TRIDC2BG076950.1","TraesCS2A02G505200, TraesCS2B02G533400, TraesCS2D02G505900",0.9473684210526316,0.06666666666666665,0.85,1.1145510835913313,14.210526315789478,12.750000000000002
N1.HOG0000313,OG0000032,n19,,"TRIDC7AG060800.1, TRIDC6AG012470.1, TRIDC6AG012480.1, TRIDC1AG000640.1, TRIDC6AG059990.1, TRIDC1AG000530.1","TRIDC7BG053840.1, TRIDC6BG017660.1, TRIDC5BG067850.1, TRIDC1BG001020.1, TRIDC1BG000990.1, TRIDC1BG007930.1, TRIDC1BG007920.1, TRIDC5BG009180.1, TRIDC1BG011480.1","TraesCS6A02G096700, TraesCS7A02G437300, TraesCS6A02G096800, TraesCS6A02G096900, TraesCS1A02G004900, TraesCS1A02G006400, TraesCS1A02G005300, TraesCS6A02G409900, TraesCS1A02G051100","TraesCS7B02G336300, TraesCS6B02G125200, TraesCS6B02G125400, TraesCS5B02G444900, TraesCS1B02G006400, TraesCS1B02G008900, TraesCS1B02G009300, TraesCS1B02G008600, TraesCS1B02G007200, TraesCS1B02G007300, TraesCS1B02G010300, TraesCS1B02G061700, TraesCS1B02G061600, TraesCS5B02G055100, TraesCS1B02G085600","TraesCS7D02G427200, TraesCS6D02G087800, TraesCS6D02G085800, TraesCS6D02G086000, TraesCS6D02G085500, TraesCS3D02G452200, TraesCS1D02G068100, TraesCS5D02G510400",HORVU.MOREX.r2.1HG0008270.1,"TRIDC7AG060800.1, TRIDC6AG012470.1, TRIDC6AG012480.1, TRIDC1AG000640.1, TRIDC6AG059990.1, TRIDC1AG000530.1, TRIDC7BG053840.1, TRIDC6BG017660.1, TRIDC5BG067850.1, TRIDC1BG001020.1, TRIDC1BG000990.1, TRIDC1BG007930.1, TRIDC1BG007920.1, TRIDC5BG009180.1, TRIDC1BG011480.1","TraesCS6A02G096700, TraesCS7A02G437300, TraesCS6A02G096800, TraesCS6A02G096900, TraesCS1A02G004900, TraesCS1A02G006400, TraesCS1A02G005300, TraesCS6A02G409900, TraesCS1A02G051100, TraesCS7B02G336300, TraesCS6B02G125200, TraesCS6B02G125400, TraesCS5B02G444900, TraesCS1B02G006400, TraesCS1B02G008900, TraesCS1B02G009300, TraesCS1B02G008600, TraesCS1B02G007200, TraesCS1B02G007300, TraesCS1B02G010300, TraesCS1B02G061700, TraesCS1B02G061600, TraesCS5B02G055100, TraesCS1B02G085600, TraesCS7D02G427200, TraesCS6D02G087800, TraesCS6D02G085800, TraesCS6D02G086000, TraesCS6D02G085500, TraesCS3D02G452200, TraesCS1D02G068100, TraesCS5D02G510400",0.9473684210526316,0.6333333333333333,0.71875,1.3180778032036613,1.4958448753462605,1.1348684210526316
N1.HOG0000376,OG0000041,n26,,,TRIDC1BG000340.1,TraesCS1A02G003900,"TraesCS2B02G002200, TraesCS3B02G570600, TraesCS1B02G468000",TraesCS4D02G310900,HORVU.MOREX.r2.2HG0080500.1,TRIDC1BG000340.1,"TraesCS1A02G003900, TraesCS2B02G002200, TraesCS3B02G570600, TraesCS1B02G468000, TraesCS4D02G310900",0.8421052631578947,0.3833333333333333,0.65,1.2955465587044532,2.196796338672769,1.6956521739130437
N1.HOG0000380,OG0000041,n50,,TRIDC2AG082010.1,TRIDC2BG091010.1,TraesCS2A02G558300,,TraesCSU02G020600,HORVU.MOREX.r2.2HG0181300.1,"TRIDC2AG082010.1, TRIDC2BG091010.1","TraesCS2A02G558300, TraesCSU02G020600",0.7894736842105263,0.06666666666666665,0.35,2.255639097744361,11.842105263157897,5.250000000000001
N1.HOG0000459,OG0000053,n34,,TRIDC6AG059270.1,"TRIDC6BG070150.1, TRIDC0UG034540.1, TRIDC0UG006980.1, TRIDC6BG070210.1, TRIDC6BG070200.1","TraesCS6A02G403400, TraesCS6A02G403300","TraesCS6B02G447100, TraesCS6B02G446100, TraesCS6B02G446700, TraesCS6B02G447200, TraesCS6B02G447000","TraesCS6D02G386900, TraesCSU02G168100, TraesCSU02G165600, TraesCSU02G179000, TraesCS6D02G386700","HORVU.MOREX.r2.6HG0524280.1, HORVU.MOREX.r2.6HG0524270.1, HORVU.MOREX.r2.6HG0524310.1","TRIDC6AG059270.1, TRIDC6BG070150.1, TRIDC0UG034540.1, TRIDC0UG006980.1, TRIDC6BG070210.1, TRIDC6BG070200.1","TraesCS6A02G403400, TraesCS6A02G403300, TraesCS6B02G447100, TraesCS6B02G446100, TraesCS6B02G446700, TraesCS6B02G447200, TraesCS6B02G447000, TraesCS6D02G386900, TraesCSU02G168100, TraesCSU02G165600, TraesCSU02G179000, TraesCS6D02G386700",0.4736842105263158,0.29166666666666663,0.3833333333333333,1.2356979405034327,1.6240601503759402,1.3142857142857143
N1.HOG0000468,OG0000055,n24,,TRIDC6AG060300.1,"TRIDC6BG073080.1, TRIDC0UG001910.1",,TraesCS6B02G460900,"TraesCS6D02G395400, TraesCS6D02G395600, TraesCS6D02G395700",HORVU.MOREX.r2.6HG0525460.1,"TRIDC6AG060300.1, TRIDC6BG073080.1, TRIDC0UG001910.1","TraesCS6B02G460900, TraesCS6D02G395400, TraesCS6D02G395600, TraesCS6D02G395700",0.8947368421052632,0.1333333333333333,0.575,1.5560640732265447,6.710526315789475,4.312500000000001
N1.HOG0000472,OG0000056,n6,,,TRIDC2BG001970.1,TraesCS2A02G018300,"TraesCS2B02G027200, TraesCS2B02G025300",TraesCS2D02G019900,HORVU.MOREX.r2.2HG0080790.1,TRIDC2BG001970.1,"TraesCS2A02G018300, TraesCS2B02G027200, TraesCS2B02G025300, TraesCS2D02G019900",0.8947368421052632,0.3666666666666667,0.65,1.3765182186234817,2.4401913875598082,1.7727272727272727
