HOG,OG,Gene Tree Parent Clade,Bdistachyon_pep,EM_A_pep,EM_B_pep,TaCS_A_pep_longest,TaCS_B_pep_longest,TaCS_D_pep_longest,barley,emmer,wheat,barley_rates,wheat_rates,emmer_rates,barley/emmer,barley/wheat,emmer/wheat
N1.HOG0000028,OG0000001,n0,,,TRIDC5BG044300.1,,,,"HORVU.MOREX.r2.6HG0490200.1, HORVU.MOREX.r2.7HG0584750.1, HORVU.MOREX.r2.3HG0239360.1, HORVU.MOREX.r2.1HG0030120.1, HORVU.MOREX.r2.7HG0572280.1, HORVU.MOREX.r2.1HG0021110.1, HORVU.MOREX.r2.5HG0363770.1, HORVU.MOREX.r2.1HG0066280.1, HORVU.MOREX.r2.1HG0074350.1, HORVU.MOREX.r2.1HG0026910.1, HORVU.MOREX.r2.3HG0228730.1, HORVU.MOREX.r2.3HG0190490.1, HORVU.MOREX.r2.6HG0503040.1, HORVU.MOREX.r2.5HG0432580.1, HORVU.MOREX.r2.6HG0457160.1, HORVU.MOREX.r2.6HG0451000.1, HORVU.MOREX.r2.3HG0197900.1, HORVU.MOREX.r2.2HG0155010.1, HORVU.MOREX.r2.1HG0056200.1, HORVU.MOREX.r2.3HG0229490.1, HORVU.MOREX.r2.1HG0026110.1, HORVU.MOREX.r2.7HG0564750.1, HORVU.MOREX.r2.4HG0280620.1, HORVU.MOREX.r2.5HG0354940.1, HORVU.MOREX.r2.UnG0626850.1, HORVU.MOREX.r2.2HG0152580.1, HORVU.MOREX.r2.3HG0234200.1, HORVU.MOREX.r2.2HG0151510.1, HORVU.MOREX.r2.1HG0046560.1, HORVU.MOREX.r2.5HG0400640.1, HORVU.MOREX.r2.6HG0477550.1, HORVU.MOREX.r2.1HG0065650.1, HORVU.MOREX.r2.6HG0519640.1, HORVU.MOREX.r2.4HG0291280.1, HORVU.MOREX.r2.5HG0362120.1, HORVU.MOREX.r2.6HG0481000.1, HORVU.MOREX.r2.1HG0040880.1, HORVU.MOREX.r2.1HG0006690.1, HORVU.MOREX.r2.3HG0266540.1, HORVU.MOREX.r2.2HG0134070.1, HORVU.MOREX.r2.6HG0479820.1, HORVU.MOREX.r2.7HG0582030.1, HORVU.MOREX.r2.3HG0249100.1, HORVU.MOREX.r2.3HG0183730.1, HORVU.MOREX.r2.3HG0225130.1, HORVU.MOREX.r2.3HG0252680.1, HORVU.MOREX.r2.3HG0264640.1, HORVU.MOREX.r2.7HG0603110.1, HORVU.MOREX.r2.4HG0347400.1, HORVU.MOREX.r2.5HG0432670.1, HORVU.MOREX.r2.2HG0092800.1, HORVU.MOREX.r2.1HG0069490.1, HORVU.MOREX.r2.1HG0009200.1, HORVU.MOREX.r2.4HG0341810.1, HORVU.MOREX.r2.6HG0519330.1, HORVU.MOREX.r2.5HG0424700.1, HORVU.MOREX.r2.3HG0230580.1, HORVU.MOREX.r2.7HG0591510.1, HORVU.MOREX.r2.7HG0617310.1, HORVU.MOREX.r2.5HG0376520.1, HORVU.MOREX.r2.6HG0511140.1, HORVU.MOREX.r2.1HG0014760.1, HORVU.MOREX.r2.2HG0145850.1, HORVU.MOREX.r2.3HG0189170.1, HORVU.MOREX.r2.1HG0020730.1, HORVU.MOREX.r2.3HG0229110.1, HORVU.MOREX.r2.3HG0234130.1, HORVU.MOREX.r2.3HG0222750.1, HORVU.MOREX.r2.1HG0070160.1, HORVU.MOREX.r2.7HG0575830.1, HORVU.MOREX.r2.3HG0221640.1, HORVU.MOREX.r2.7HG0611870.1, HORVU.MOREX.r2.2HG0084310.1, HORVU.MOREX.r2.3HG0252180.1, HORVU.MOREX.r2.6HG0466250.1, HORVU.MOREX.r2.5HG0424540.1, HORVU.MOREX.r2.7HG0595970.1, HORVU.MOREX.r2.7HG0557730.1, HORVU.MOREX.r2.4HG0306210.1, HORVU.MOREX.r2.7HG0583400.1, HORVU.MOREX.r2.6HG0492650.1, HORVU.MOREX.r2.3HG0195610.1, HORVU.MOREX.r2.7HG0600170.1, HORVU.MOREX.r2.5HG0439800.1, HORVU.MOREX.r2.3HG0185270.1, HORVU.MOREX.r2.2HG0178780.1, HORVU.MOREX.r2.1HG0067210.1, HORVU.MOREX.r2.1HG0044680.1, HORVU.MOREX.r2.2HG0140050.1, HORVU.MOREX.r2.5HG0396090.1, HORVU.MOREX.r2.5HG0409480.1, HORVU.MOREX.r2.5HG0378750.1, HORVU.MOREX.r2.4HG0305080.1, HORVU.MOREX.r2.2HG0117880.1, HORVU.MOREX.r2.2HG0112180.1, HORVU.MOREX.r2.2HG0156620.1, HORVU.MOREX.r2.1HG0039820.1, HORVU.MOREX.r2.7HG0578900.1, HORVU.MOREX.r2.7HG0539570.1, HORVU.MOREX.r2.6HG0503050.1, HORVU.MOREX.r2.5HG0418470.1, HORVU.MOREX.r2.6HG0483260.1, HORVU.MOREX.r2.5HG0403760.1, HORVU.MOREX.r2.2HG0115220.1, HORVU.MOREX.r2.7HG0580370.1, HORVU.MOREX.r2.1HG0023780.1, HORVU.MOREX.r2.6HG0521800.1, HORVU.MOREX.r2.7HG0576160.1, HORVU.MOREX.r2.4HG0301000.1, HORVU.MOREX.r2.UnG0627970.1, HORVU.MOREX.r2.7HG0589130.1, HORVU.MOREX.r2.2HG0169650.1, HORVU.MOREX.r2.4HG0324870.1, HORVU.MOREX.r2.6HG0512310.1, HORVU.MOREX.r2.4HG0340870.1, HORVU.MOREX.r2.1HG0038130.1, HORVU.MOREX.r2.6HG0522780.1, HORVU.MOREX.r2.2HG0108090.1, HORVU.MOREX.r2.5HG0426320.1, HORVU.MOREX.r2.6HG0460270.1, HORVU.MOREX.r2.1HG0054570.1, HORVU.MOREX.r2.4HG0280840.1, HORVU.MOREX.r2.5HG0414120.1, HORVU.MOREX.r2.4HG0282350.1, HORVU.MOREX.r2.3HG0250420.1, HORVU.MOREX.r2.3HG0255050.1, HORVU.MOREX.r2.7HG0554260.1, HORVU.MOREX.r2.2HG0120960.1, HORVU.MOREX.r2.4HG0320360.1, HORVU.MOREX.r2.2HG0094760.1, HORVU.MOREX.r2.1HG0013940.1, HORVU.MOREX.r2.4HG0321240.1, HORVU.MOREX.r2.4HG0301300.1, HORVU.MOREX.r2.7HG0610810.1, HORVU.MOREX.r2.3HG0199860.1, HORVU.MOREX.r2.3HG0221460.1, HORVU.MOREX.r2.7HG0622420.1, HORVU.MOREX.r2.6HG0507490.1, HORVU.MOREX.r2.2HG0101200.1, HORVU.MOREX.r2.2HG0108840.1, HORVU.MOREX.r2.5HG0428250.1, HORVU.MOREX.r2.3HG0207510.1, HORVU.MOREX.r2.7HG0583370.1, HORVU.MOREX.r2.7HG0538710.1, HORVU.MOREX.r2.3HG0203070.1, HORVU.MOREX.r2.2HG0146090.1, HORVU.MOREX.r2.7HG0575570.1, HORVU.MOREX.r2.7HG0588490.1, HORVU.MOREX.r2.6HG0477680.1, HORVU.MOREX.r2.6HG0465710.1, HORVU.MOREX.r2.7HG0597880.1, HORVU.MOREX.r2.6HG0515590.1, HORVU.MOREX.r2.3HG0199760.1, HORVU.MOREX.r2.1HG0055290.1, HORVU.MOREX.r2.7HG0529260.1, HORVU.MOREX.r2.3HG0225290.1, HORVU.MOREX.r2.6HG0521520.1, HORVU.MOREX.r2.7HG0530380.1, HORVU.MOREX.r2.1HG0020260.1, HORVU.MOREX.r2.7HG0552010.1, HORVU.MOREX.r2.UnG0630340.1, HORVU.MOREX.r2.4HG0336160.1, HORVU.MOREX.r2.7HG0579500.1, HORVU.MOREX.r2.6HG0518200.1, HORVU.MOREX.r2.6HG0487530.1, HORVU.MOREX.r2.5HG0416000.1, HORVU.MOREX.r2.2HG0095100.1",TRIDC5BG044300.1,,0.6917293233082706,,,,,
N1.HOG0000030,OG0000002,n6,,,,,,TraesCS6D02G029800,HORVU.MOREX.r2.5HG0446590.1,,TraesCS6D02G029800,0.42105263157894735,0.4,,,1.0526315789473684,
N1.HOG0000032,OG0000002,n10,,TRIDC4AG026920.1,,"TraesCS1A02G332100, TraesCS4A02G064100, TraesCS4A02G336700, TraesCS3A02G416600, TraesCS6A02G197000, TraesCS5A02G140100, TraesCS3A02G223800, TraesCS4A02G167900, TraesCS6A02G238700","TraesCS2B02G319900, TraesCS1B02G127100, TraesCS2B02G321900, TraesCS1B02G390400, TraesCS6B02G103500, TraesCS5B02G383200, TraesCS3B02G458300, TraesCS6B02G390400, TraesCS5B02G116800","TraesCS7D02G442000, TraesCS3D02G507200, TraesCS4D02G198700, TraesCS5D02G196900, TraesCS1D02G330900, TraesCS7D02G361400, TraesCS1D02G339100, TraesCS3D02G400100, TraesCS6D02G357200, TraesCS2D02G363500, TraesCS3D02G103000, TraesCS5D02G239300, TraesCS1D02G151400","HORVU.MOREX.r2.3HG0196890.1, HORVU.MOREX.r2.2HG0157920.1, HORVU.MOREX.r2.4HG0335820.1",TRIDC4AG026920.1,"TraesCS1A02G332100, TraesCS4A02G064100, TraesCS4A02G336700, TraesCS3A02G416600, TraesCS6A02G197000, TraesCS5A02G140100, TraesCS3A02G223800, TraesCS4A02G167900, TraesCS6A02G238700, TraesCS2B02G319900, TraesCS1B02G127100, TraesCS2B02G321900, TraesCS1B02G390400, TraesCS6B02G103500, TraesCS5B02G383200, TraesCS3B02G458300, TraesCS6B02G390400, TraesCS5B02G116800, TraesCS7D02G442000, TraesCS3D02G507200, TraesCS4D02G198700, TraesCS5D02G196900, TraesCS1D02G330900, TraesCS7D02G361400, TraesCS1D02G339100, TraesCS3D02G400100, TraesCS6D02G357200, TraesCS2D02G363500, TraesCS3D02G103000, TraesCS5D02G239300, TraesCS1D02G151400",0.5,0.4190476190476191,0.9,0.5555555555555556,1.193181818181818,2.1477272727272725
N1.HOG0000033,OG0000002,n46,,,,,"TraesCS4B02G232600, TraesCS6B02G319300",,HORVU.MOREX.r2.3HG0257070.1,,"TraesCS4B02G232600, TraesCS6B02G319300",0.9473684210526316,0.8,,,1.1842105263157894,
N1.HOG0000034,OG0000002,n50,,,,TraesCS1A02G140000,TraesCS5B02G179400,,HORVU.MOREX.r2.5HG0446830.1,,"TraesCS1A02G140000, TraesCS5B02G179400",0.631578947368421,0.4666666666666667,,,1.3533834586466165,
N1.HOG0000035,OG0000002,n52,,,,"TraesCS4A02G158600, TraesCS1A02G219300",,,"HORVU.MOREX.r2.7HG0611560.1, HORVU.MOREX.r2.4HG0294490.1",,"TraesCS4A02G158600, TraesCS1A02G219300",0.6842105263157895,,,,,
N1.HOG0000038,OG0000002,n66,,,,"TraesCS2A02G460300, TraesCS7A02G244300, TraesCS7A02G186500, TraesCS4A02G280200, TraesCS7A02G186300, TraesCS3A02G342400, TraesCS3A02G351900, TraesCS2A02G195700, TraesCS1A02G034200, TraesCS1A02G192100, TraesCS7A02G492300, TraesCS5A02G477700, TraesCS2A02G199200, TraesCS3A02G135900, TraesCS2A02G292500, TraesCS5A02G172500, TraesCS3A02G154300, TraesCS1A02G313100, TraesCS1A02G423300, TraesCS1A02G269900, TraesCS1A02G298500, TraesCS2A02G571400, TraesCS3A02G140400, TraesCS4A02G066000, TraesCS6A02G257800","TraesCS1B02G173800, TraesCS7B02G213100, TraesCS3B02G501800, TraesCS6B02G380400, TraesCS6B02G119200, TraesCS7B02G374600, TraesCS7B02G347500, TraesCS6B02G375300, TraesCS2B02G149800, TraesCS5B02G142400, TraesCS1B02G466600, TraesCS6B02G353000, TraesCS3B02G298300, TraesCS4B02G273700, TraesCS4B02G273900, TraesCS6B02G370200, TraesCS3B02G546000, TraesCS7B02G005600, TraesCS7B02G488800, TraesCS2B02G083200, TraesCS7B02G260000, TraesCS7B02G263300, TraesCS2B02G518800, TraesCS1B02G338700, TraesCS7B02G269500, TraesCS3B02G184800, TraesCS3B02G530400, TraesCS3B02G574100, TraesCS4B02G370300, TraesCS2B02G325000, TraesCS4B02G019500, TraesCS6B02G395800, TraesCS5B02G516700, TraesCS2B02G449800, TraesCS2B02G348300, TraesCS6B02G417900","TraesCS7D02G436000, TraesCS5D02G264400, TraesCS3D02G102600, TraesCS4D02G305000, TraesCS4D02G328500, TraesCS3D02G137400, TraesCS7D02G525400, TraesCS7D02G214200, TraesCS3D02G019600, TraesCS5D02G128900, TraesCS2D02G147400, TraesCS2D02G383000, TraesCS4D02G354600, TraesCS3D02G154200, TraesCS2D02G053500, TraesCS3D02G365300, TraesCS7D02G366900, TraesCS5D02G371600, TraesCS2D02G555100, TraesCS3D02G015500, TraesCS4D02G297100, TraesCS6D02G397100, TraesCS3D02G148800, TraesCS2D02G535300, TraesCS6D02G090600, TraesCS7D02G158800, TraesCS2D02G258400",HORVU.MOREX.r2.5HG0424210.1,,"TraesCS2A02G460300, TraesCS7A02G244300, TraesCS7A02G186500, TraesCS4A02G280200, TraesCS7A02G186300, TraesCS3A02G342400, TraesCS3A02G351900, TraesCS2A02G195700, TraesCS1A02G034200, TraesCS1A02G192100, TraesCS7A02G492300, TraesCS5A02G477700, TraesCS2A02G199200, TraesCS3A02G135900, TraesCS2A02G292500, TraesCS5A02G172500, TraesCS3A02G154300, TraesCS1A02G313100, TraesCS1A02G423300, TraesCS1A02G269900, TraesCS1A02G298500, TraesCS2A02G571400, TraesCS3A02G140400, TraesCS4A02G066000, TraesCS6A02G257800, TraesCS1B02G173800, TraesCS7B02G213100, TraesCS3B02G501800, TraesCS6B02G380400, TraesCS6B02G119200, TraesCS7B02G374600, TraesCS7B02G347500, TraesCS6B02G375300, TraesCS2B02G149800, TraesCS5B02G142400, TraesCS1B02G466600, TraesCS6B02G353000, TraesCS3B02G298300, TraesCS4B02G273700, TraesCS4B02G273900, TraesCS6B02G370200, TraesCS3B02G546000, TraesCS7B02G005600, TraesCS7B02G488800, TraesCS2B02G083200, TraesCS7B02G260000, TraesCS7B02G263300, TraesCS2B02G518800, TraesCS1B02G338700, TraesCS7B02G269500, TraesCS3B02G184800, TraesCS3B02G530400, TraesCS3B02G574100, TraesCS4B02G370300, TraesCS2B02G325000, TraesCS4B02G019500, TraesCS6B02G395800, TraesCS5B02G516700, TraesCS2B02G449800, TraesCS2B02G348300, TraesCS6B02G417900, TraesCS7D02G436000, TraesCS5D02G264400, TraesCS3D02G102600, TraesCS4D02G305000, TraesCS4D02G328500, TraesCS3D02G137400, TraesCS7D02G525400, TraesCS7D02G214200, TraesCS3D02G019600, TraesCS5D02G128900, TraesCS2D02G147400, TraesCS2D02G383000, TraesCS4D02G354600, TraesCS3D02G154200, TraesCS2D02G053500, TraesCS3D02G365300, TraesCS7D02G366900, TraesCS5D02G371600, TraesCS2D02G555100, TraesCS3D02G015500, TraesCS4D02G297100, TraesCS6D02G397100, TraesCS3D02G148800, TraesCS2D02G535300, TraesCS6D02G090600, TraesCS7D02G158800, TraesCS2D02G258400",0.6842105263157895,0.6719298245614035,,,1.0182767624020888,
N1.HOG0000063,OG0000004,n74,,,,TraesCS6A02G040500,,"TraesCS6D02G046200, TraesCS6D02G046600","HORVU.MOREX.r2.6HG0453290.1, HORVU.MOREX.r2.6HG0463420.1",,"TraesCS6A02G040500, TraesCS6D02G046200, TraesCS6D02G046600",0.8947368421052632,0.8,,,1.118421052631579,
N1.HOG0000077,OG0000005,n21,,,,,,,"HORVU.MOREX.r2.4HG0289640.1, HORVU.MOREX.r2.5HG0436920.1, HORVU.MOREX.r2.7HG0563680.1, HORVU.MOREX.r2.1HG0025200.1, HORVU.MOREX.r2.7HG0606190.1, HORVU.MOREX.r2.2HG0145710.1, HORVU.MOREX.r2.2HG0145570.1, HORVU.MOREX.r2.5HG0384460.1, HORVU.MOREX.r2.6HG0497760.1, HORVU.MOREX.r2.5HG0374170.1, HORVU.MOREX.r2.3HG0255170.1, HORVU.MOREX.r2.6HG0467620.1, HORVU.MOREX.r2.6HG0497520.1",,,0.5614035087719298,,,,,
N1.HOG0000082,OG0000005,n68,,,,,,TraesCS6D02G094900,"HORVU.MOREX.r2.3HG0234540.1, HORVU.MOREX.r2.4HG0342820.1, HORVU.MOREX.r2.6HG0465000.1, HORVU.MOREX.r2.3HG0253560.1, HORVU.MOREX.r2.6HG0495560.1",,TraesCS6D02G094900,0.9473684210526316,,,,,
